z,mu
0.04734,36.6009
0.04768,36.5946
0.0478,36.5627
0.04777,36.4976
0.04777,36.3735
0.04867,36.3303
0.04839,36.641
0.05018,36.5997
0.04896,36.4691
0.04928,36.5828
0.05019,36.6402
0.04952,36.4714
0.0498,36.5693
0.04998,36.8583
0.04944,36.5403
0.0497,36.4621
0.05063,36.5461
0.05071,36.7036
0.04995,36.8523
0.05139,36.8804
0.05196,36.393
0.05165,36.5862
0.05148,36.7759
0.05232,36.8679
0.05232,36.5433
0.05229,36.8411
0.0532,36.9144
0.05268,36.7752
0.05291,36.8474
0.05449,36.8631
0.0543,36.8327
0.05485,36.8581
0.05529,36.6433
0.05513,36.8676
0.05641,36.8109
0.05658,36.9098
0.05668,37.0393
0.05631,36.9903
0.0568,37.0687
0.0576,36.9821
0.0576,36.9324
0.05708,36.9545
0.05837,36.9802
0.05837,37.146
0.05934,36.3001
0.06079,37.032
0.0613,37.1631
0.0613,37.1925
0.06067,37.1383
0.06116,36.9608
0.06116,36.9691
0.06142,37.0747
0.0637,37.3517
0.06419,37.0197
0.06398,37.0786
0.06485,37.0851
0.06603,37.3617
0.06652,37.1627
0.06723,37.4237
0.06731,37.2344
0.06758,37.4935
0.06841,37.2381
0.06908,37.4213
0.0691,37.2817
0.07076,37.2944
0.07028,37.2961
0.07028,37.2775
0.07046,37.4787
0.07113,37.4814
0.07068,37.4543
0.07061,37.7291
0.07074,37.3712
0.07094,37.3552
0.07149,37.2494
0.07134,37.4155
0.07193,37.5618
0.07196,37.6319
0.07301,37.6225
0.07398,37.5535
0.07478,37.4346
0.07467,37.4501
0.0749,37.4763
0.0749,37.5656
0.07514,37.8142
0.07529,37.5461
0.07557,37.6342
0.07855,37.5715
0.07833,37.8315
0.07849,38.0154
0.07849,38.0942
0.07869,37.5988
0.07891,37.7843
0.07901,37.53
0.07966,37.6003
0.08024,37.6668
0.08141,37.7215
0.08221,37.8192
0.08255,37.6774
0.08282,37.9939
0.08366,37.9686
0.08544,37.8406
0.08656,37.8484
0.08848,37.7772
0.09015,37.9202
0.09066,38.0269
0.09181,38.1602
0.09284,38.2226
0.09968,38.4377
0.10142,38.2982
0.10237,38.4085
0.10231,38.2511
0.10298,38.1815
0.10338,38.3338
0.10351,38.2079
0.10485,38.4295
0.10638,38.2611
0.10684,38.4624
0.10694,38.4295
0.10728,38.7801
0.10751,38.4984
0.1081,38.4017
0.10886,38.4016
0.10988,38.5701
0.11243,38.6214
0.11365,38.3876
0.11628,38.5408
0.11635,38.6302
0.11741,38.5727
0.11771,38.6088
0.11797,38.4157
0.11878,38.5629
0.11992,38.5958
0.12042,38.7926
0.12067,38.6348
0.1219,38.5945
0.12208,38.6119
0.12262,38.6853
0.12303,38.5967
0.12336,38.6164
0.12356,38.8009
0.12363,38.8242
0.12377,38.6504
0.12384,38.835
0.12455,38.7616
0.12542,39.1417
0.12608,38.4956
0.12688,38.8125
0.12694,38.6849
0.12705,38.7429
0.12716,38.7841
0.129,38.7547
0.12904,38.8403
0.12929,38.833
0.1294,38.8429
